timestamp,src_ip,dst_ip,src_port,dst_port,packet_count,total_bytes,duration_ms,label,protocol
1772674155.8141797,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674157.8193388,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674157.8193388,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674159.8220289,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674159.8220289,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674159.8220289,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674159.8220289,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674161.8312836,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674161.8312836,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674161.8312836,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674161.8312836,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674163.8343744,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674163.8343744,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674163.8343744,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674163.8343744,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674165.8375769,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674165.8375769,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674165.8375769,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674165.8375769,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674167.841748,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674167.841748,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674167.841748,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674167.841748,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674169.844426,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674169.844426,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674169.844426,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674169.844426,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674171.847187,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674171.847187,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674171.847187,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674171.847187,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674173.8505483,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674173.8505483,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674173.8505483,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674173.8505483,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674175.85337,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674175.85337,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674175.85337,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674175.85337,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674177.856085,10.0.2.15,13.107.5.93,52428,443,7,4894,102.84,0,TCP
1772674177.856085,10.0.2.15,13.107.5.93,52432,443,3,1467,31.3,0,TCP
1772674177.856085,10.0.2.15,13.107.213.57,51800,443,7,3662,42.28,0,TCP
1772674177.856085,10.0.2.15,13.107.213.57,51810,443,6,3532,39.5,0,TCP
1772674179.8641994,10.0.2.15,13.107.5.93,47942,443,3,1467,30.52,0,TCP
