[21:31:02] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:02] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:02] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:02] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:04] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:04] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:04] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:04] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:06] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:06] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:06] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:06] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:09] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:09] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:09] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:09] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:11] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:11] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:11] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:11] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:13] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:13] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:13] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:13] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:15] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:15] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:15] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:15] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:15] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:15] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:17] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:17] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:17] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:17] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:17] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:17] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:19] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:19] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:19] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:20] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:20] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:20] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:22] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:22] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:22] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:22] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:22] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:22] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:24] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:24] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:24] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:24] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:24] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:24] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:26] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:26] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:26] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:26] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:26] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:26] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:28] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:28] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:28] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:28] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:28] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:28] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:30] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:30] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:30] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:31] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:31] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:31] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:33] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:33] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
[21:31:33] Suspicious Traffic | src=127.0.0.1:42856 dst=127.0.0.1:9898 | SVM=1 RF=1 | bytes=78
[21:31:33] Suspicious Traffic | src=127.0.0.1:58800 dst=127.0.0.1:62541 | SVM=1 RF=1 | bytes=79
[21:31:33] Suspicious Traffic | src=127.0.0.1:9898 dst=127.0.0.1:42856 | SVM=1 RF=1 | bytes=815
[21:31:33] Suspicious Traffic | src=127.0.0.1:33646 dst=127.0.0.1:9998 | SVM=1 RF=1 | bytes=78
[21:31:35] Suspicious Traffic | src=127.0.0.1:62541 dst=127.0.0.1:58800 | SVM=1 RF=1 | bytes=815
[21:31:35] Suspicious Traffic | src=127.0.0.1:9998 dst=127.0.0.1:33646 | SVM=1 RF=1 | bytes=815
