timestamp,src_ip,dst_ip,src_port,dst_port,packet_count,total_bytes,duration_ms
1772077608.1107903,192.168.64.2,40.79.197.34,39304,443,4,2336,443.06
1772077610.1144328,192.168.64.2,40.79.197.34,39304,443,4,2336,443.06
1772077612.1183326,192.168.64.2,40.79.197.34,39304,443,7,11009,5911.94
1772077614.123125,192.168.64.2,40.79.197.34,39304,443,7,11009,5911.94
1772077616.1273391,192.168.64.2,40.79.197.34,39304,443,9,13268,8057.18
1772077618.1300073,192.168.64.2,40.79.197.34,39304,443,11,15522,10067.1
1772077620.1361995,192.168.64.2,40.79.197.34,39304,443,14,24218,12495.32
1772077622.140027,192.168.64.2,40.79.197.34,39304,443,16,26445,15086.12
1772077624.1477609,192.168.64.2,40.79.197.34,39304,443,16,26445,15086.12
1772077626.1500878,192.168.64.2,40.79.197.34,39304,443,19,35143,19274.99
1772077628.155107,192.168.64.2,40.79.197.34,39304,443,19,35143,19274.99
1772077630.1584418,192.168.64.2,40.79.197.34,39304,443,21,37398,22089.74
1772077632.1634076,192.168.64.2,40.79.197.34,39304,443,24,41805,24301.45
1772077634.166485,192.168.64.2,40.79.197.34,39304,443,24,41805,24301.45
1772077636.1740687,192.168.64.2,40.79.197.34,39304,443,26,46172,28110.71
1772077638.1777604,192.168.64.2,40.79.197.34,39304,443,26,46172,28110.71
1772077640.1870363,192.168.64.2,40.79.197.34,39304,443,29,48462,32922.77
1772077642.1948886,192.168.64.2,40.79.197.34,39304,443,31,50716,34136.09
1772077644.1962187,192.168.64.2,40.79.197.34,39304,443,33,55082,36149.97
1772077646.2043948,192.168.64.2,40.79.197.34,39304,443,33,55082,36149.97
1772077648.2115831,192.168.64.2,40.79.197.34,39304,443,36,57372,41015.11
1772077650.214344,192.168.64.2,40.79.197.34,39304,443,38,59627,42147.16
1772077652.2218616,192.168.64.2,40.79.197.34,39304,443,40,63994,44153.18
1772077654.2257802,192.168.64.2,40.79.197.34,39304,443,40,63994,44153.18
1772077656.2290611,192.168.64.2,142.251.186.138,44212,443,9,884,126.04
1772077656.2290611,192.168.64.2,40.79.197.34,39304,443,43,66284,48520.38
1772077656.2290611,192.168.64.2,142.251.186.113,48836,443,1,517,0.0
1772077658.2326777,192.168.64.2,142.251.186.101,58264,443,9,884,115.32
1772077658.2326777,192.168.64.2,142.251.186.101,58296,443,9,884,121.44
1772077658.2326777,192.168.64.2,142.251.186.138,44212,443,9,884,126.04
1772077658.2326777,192.168.64.2,142.251.186.101,58284,443,9,884,121.86
1772077658.2326777,192.168.64.2,142.251.186.113,48846,443,9,884,203.61
1772077658.2326777,192.168.64.2,40.79.197.34,39304,443,45,70651,50179.19
1772077658.2326777,192.168.64.2,142.251.186.101,58298,443,9,884,165.56
1772077658.2326777,192.168.64.2,142.251.186.113,48836,443,9,884,158.66
1772077658.2326777,192.168.64.2,142.251.186.139,43372,443,9,884,118.78
1772077658.2326777,192.168.64.2,142.251.186.101,58270,443,9,884,162.02
1772077660.234523,192.168.64.2,142.251.186.101,58264,443,9,884,115.32
1772077660.234523,192.168.64.2,142.251.186.100,52524,443,9,884,207.59
1772077660.234523,192.168.64.2,142.251.186.101,58296,443,9,884,121.44
1772077660.234523,192.168.64.2,142.251.186.138,44212,443,9,884,126.04
1772077660.234523,192.168.64.2,142.251.186.101,58284,443,9,884,121.86
1772077660.234523,192.168.64.2,142.251.186.113,48846,443,9,884,203.61
1772077660.234523,192.168.64.2,142.251.186.113,48860,443,9,884,176.63
1772077660.234523,192.168.64.2,40.79.197.34,39304,443,45,70651,50179.19
1772077660.234523,192.168.64.2,142.251.186.101,58298,443,9,884,165.56
1772077660.234523,192.168.64.2,142.251.186.102,35208,443,9,884,115.87
1772077660.234523,192.168.64.2,142.251.186.113,48836,443,9,884,158.66
1772077660.234523,192.168.64.2,142.251.186.139,43372,443,9,884,118.78
1772077660.234523,192.168.64.2,142.251.186.100,52516,443,9,884,122.01
1772077660.234523,192.168.64.2,142.251.186.101,58270,443,9,884,162.02
1772077660.234523,192.168.64.2,142.251.186.102,35200,443,9,884,114.41
1772077660.234523,192.168.64.2,142.251.186.100,52526,443,9,884,114.84
1772077662.2369683,192.168.64.2,142.251.186.101,58264,443,9,884,115.32
