timestamp,src_ip,dst_ip,src_port,dst_port,packet_count,total_bytes,duration_ms
1772077662.2369683,192.168.64.2,142.251.186.100,52524,443,9,884,207.59
1772077662.2369683,192.168.64.2,142.251.186.101,58296,443,9,884,121.44
1772077662.2369683,192.168.64.2,142.251.186.138,44212,443,9,884,126.04
1772077662.2369683,192.168.64.2,142.251.186.101,58284,443,9,884,121.86
1772077662.2369683,192.168.64.2,142.251.186.113,48846,443,9,884,203.61
1772077662.2369683,192.168.64.2,142.251.186.113,48860,443,9,884,176.63
1772077662.2369683,192.168.64.2,40.79.197.34,39304,443,48,72941,54829.91
1772077662.2369683,192.168.64.2,142.251.186.101,58298,443,9,884,165.56
1772077662.2369683,192.168.64.2,142.251.186.102,35208,443,9,884,115.87
1772077662.2369683,192.168.64.2,142.251.186.113,48836,443,9,884,158.66
1772077662.2369683,192.168.64.2,142.251.186.139,43372,443,9,884,118.78
1772077662.2369683,192.168.64.2,142.251.186.100,52516,443,9,884,122.01
1772077662.2369683,192.168.64.2,142.251.186.101,58270,443,9,884,162.02
1772077662.2369683,192.168.64.2,142.251.186.102,35200,443,9,884,114.41
1772077662.2369683,192.168.64.2,142.251.186.100,52526,443,9,884,114.84
1772077664.23846,192.168.64.2,142.251.186.101,58264,443,9,884,115.32
1772077664.23846,192.168.64.2,142.251.186.100,52524,443,9,884,207.59
1772077664.23846,192.168.64.2,142.251.186.101,58296,443,9,884,121.44
1772077664.23846,192.168.64.2,142.251.186.138,44212,443,9,884,126.04
1772077664.23846,192.168.64.2,142.251.186.101,58284,443,9,884,121.86
1772077664.23846,192.168.64.2,142.251.186.113,48846,443,9,884,203.61
1772077664.23846,192.168.64.2,142.251.186.113,48860,443,9,884,176.63
1772077664.23846,192.168.64.2,40.79.197.34,39304,443,50,77308,56173.28
1772077664.23846,192.168.64.2,142.251.186.101,58298,443,9,884,165.56
1772077664.23846,192.168.64.2,142.251.186.102,35208,443,9,884,115.87
1772077664.23846,192.168.64.2,142.251.186.113,48836,443,9,884,158.66
1772077664.23846,192.168.64.2,142.251.186.139,43372,443,9,884,118.78
1772077664.23846,192.168.64.2,142.251.186.100,52516,443,9,884,122.01
1772077664.23846,192.168.64.2,142.251.186.101,58270,443,9,884,162.02
1772077664.23846,192.168.64.2,142.251.186.102,35200,443,9,884,114.41
1772077664.23846,192.168.64.2,142.251.186.100,52526,443,9,884,114.84
1772077666.24359,192.168.64.2,142.251.186.101,58264,443,9,884,115.32
1772077666.24359,192.168.64.2,142.251.186.100,52524,443,9,884,207.59
1772077666.24359,192.168.64.2,142.251.186.101,58296,443,9,884,121.44
1772077666.24359,192.168.64.2,142.251.186.138,44212,443,9,884,126.04
1772077666.24359,192.168.64.2,142.251.186.101,58284,443,9,884,121.86
1772077666.24359,192.168.64.2,142.251.186.113,48846,443,9,884,203.61
1772077666.24359,192.168.64.2,142.251.186.113,48860,443,9,884,176.63
1772077666.24359,192.168.64.2,40.79.197.34,39304,443,50,77308,56173.28
1772077666.24359,192.168.64.2,142.251.186.101,58298,443,9,884,165.56
1772077666.24359,192.168.64.2,142.251.186.102,35208,443,9,884,115.87
1772077666.24359,192.168.64.2,142.251.186.113,48836,443,9,884,158.66
1772077666.24359,192.168.64.2,142.251.186.139,43372,443,9,884,118.78
1772077666.24359,192.168.64.2,142.251.186.100,52516,443,9,884,122.01
1772077666.24359,192.168.64.2,142.251.186.101,58270,443,9,884,162.02
1772077666.24359,192.168.64.2,142.251.186.102,35200,443,9,884,114.41
1772077666.24359,192.168.64.2,142.251.186.100,52526,443,9,884,114.84
