timestamp,src_ip,dst_ip,src_port,dst_port,packet_count,total_bytes,duration_ms
1772152117.2709606,10.0.2.15,74.125.21.102,44884,443,4,655,307.47
1772152117.2709606,10.0.2.15,142.251.15.147,51212,443,3,639,13.32
1772152119.277393,10.0.2.15,74.125.21.102,44884,443,4,655,307.47
1772152119.277393,10.0.2.15,142.251.15.147,51212,443,3,639,13.32
1772152121.2805502,10.0.2.15,74.125.21.102,44884,443,4,655,307.47
1772152121.2805502,10.0.2.15,142.251.15.147,51212,443,3,639,13.32
1772152123.2835107,10.0.2.15,74.125.21.102,44884,443,4,655,307.47
1772152123.2835107,10.0.2.15,142.251.15.147,51212,443,3,639,13.32
1772152125.2872725,10.0.2.15,74.125.21.102,44884,443,4,655,307.47
1772152125.2872725,10.0.2.15,142.251.15.147,51212,443,3,639,13.32
1772152127.330144,10.0.2.15,74.125.21.102,44884,443,4,655,307.47
1772152127.330144,10.0.2.15,142.251.15.147,51212,443,3,639,13.32
1772152129.3346453,10.0.2.15,74.125.21.102,44884,443,4,655,307.47
1772152129.3346453,10.0.2.15,142.251.15.147,51212,443,3,639,13.32
